date,close,donchian_ceiling_20d,donchian_floor_20d,state
2016-01-26,0.75737,0.76948,0.73262,0
2016-01-27,0.76542,0.76948,0.73262,0
2016-01-28,0.76158,0.76948,0.7367,0
2016-01-29,0.76054,0.76948,0.74651,0
2016-01-31,0.75999,0.76948,0.74651,0
2016-02-01,0.75535,0.76948,0.74651,0
2016-02-02,0.7579,0.76948,0.74651,0
2016-02-03,0.76056,0.76948,0.75115,0
2016-02-04,0.7682,0.76948,0.75274,0
2016-02-05,0.76931,0.76948,0.75274,0
2016-02-07,0.76808,0.76948,0.75535,0
2016-02-08,0.7752,0.7752,0.75535,0
2016-02-09,0.78058,0.78058,0.75535,0
2016-02-10,0.77702,0.78058,0.75535,0
2016-02-11,0.78158,0.78158,0.75535,0
2016-02-12,0.77615,0.78158,0.75535,0
2016-02-14,0.77298,0.78158,0.75535,0
2016-02-15,0.77325,0.78158,0.75535,0
2016-02-16,0.77909,0.78158,0.75535,0
2016-02-17,0.77868,0.78158,0.75535,0
2016-02-18,0.7752,0.78158,0.75535,0
2016-02-19,0.7729,0.78158,0.75535,0
2016-02-21,0.77983,0.78158,0.75535,0
2016-02-22,0.77924,0.78158,0.75535,0
2016-02-23,0.78706,0.78706,0.75535,0
2016-02-24,0.79073,0.79073,0.7579,0
2016-02-25,0.7892,0.79073,0.76056,0
2016-02-26,0.78807,0.79073,0.76808,0
2016-02-28,0.7881,0.79073,0.76808,0
2016-02-29,0.78162,0.79073,0.76808,0
2016-03-01,0.77908,0.79073,0.7729,0
2016-03-02,0.77202,0.79073,0.77202,0
2016-03-03,0.77236,0.79073,0.77202,0
2016-03-04,0.77363,0.79073,0.77202,0
2016-03-06,0.77348,0.79073,0.77202,0
2016-03-07,0.77228,0.79073,0.77202,0
2016-03-08,0.77438,0.79073,0.77202,0
2016-03-09,0.77332,0.79073,0.77202,0
2016-03-10,0.78245,0.79073,0.77202,0
2016-03-11,0.77512,0.79073,0.77202,0
2016-03-13,0.77651,0.79073,0.77202,0
2016-03-14,0.77734,0.79073,0.77202,0
2016-03-15,0.78466,0.79073,0.77202,0
2016-03-16,0.78708,0.79073,0.77202,0
2016-03-17,0.78174,0.79073,0.77202,0
2016-03-18,0.77851,0.7892,0.77202,0
2016-03-20,0.77964,0.7881,0.77202,0
2016-03-21,0.78207,0.7881,0.77202,0
2016-03-22,0.78898,0.78898,0.77202,0
2016-03-23,0.79196,0.79196,0.77202,0
2016-03-24,0.78997,0.79196,0.77202,0
2016-03-25,0.79041,0.79196,0.77228,0
2016-03-27,0.78968,0.79196,0.77228,0
2016-03-28,0.7855,0.79196,0.77228,0
2016-03-29,0.78483,0.79196,0.77228,0
2016-03-30,0.78858,0.79196,0.77332,0
2016-03-31,0.79211,0.79211,0.77332,0
2016-04-01,0.80075,0.80075,0.77512,0
2016-04-03,0.80104,0.80104,0.77512,0
2016-04-04,0.79836,0.80104,0.77651,0
2016-04-05,0.80394,0.80394,0.77734,0
2016-04-06,0.80672,0.80672,0.77851,0
2016-04-07,0.80892,0.80892,0.77851,0
2016-04-08,0.80691,0.80892,0.77851,0
2016-04-10,0.80712,0.80892,0.77851,0
2016-04-11,0.80168,0.80892,0.77964,0
2016-04-12,0.79795,0.80892,0.78207,0
2016-04-13,0.79486,0.80892,0.78483,0
2016-04-14,0.79668,0.80892,0.78483,0
2016-04-15,0.79444,0.80892,0.78483,0
2016-04-17,0.79674,0.80892,0.78483,0
2016-04-18,0.7916,0.80892,0.78483,0
2016-04-19,0.78951,0.80892,0.78483,0
2016-04-20,0.78836,0.80892,0.78483,0
2016-04-21,0.78826,0.80892,0.78826,0
2016-04-22,0.7792,0.80892,0.7792,0
2016-04-24,0.77755,0.80892,0.77755,0
2016-04-25,0.77772,0.80892,0.77755,0
2016-04-26,0.77511,0.80892,0.77511,0
2016-04-27,0.77908,0.80892,0.77511,0
2016-04-28,0.77736,0.80892,0.77511,0
2016-04-29,0.78357,0.80892,0.77511,0
2016-05-01,0.78482,0.80712,0.77511,0
2016-05-02,0.78596,0.80712,0.77511,0
2016-05-03,0.79054,0.80168,0.77511,0
2016-05-04,0.79222,0.79795,0.77511,0
2016-05-05,0.78674,0.79674,0.77511,0
2016-05-06,0.79047,0.79674,0.77511,0
2016-05-08,0.78928,0.79674,0.77511,0
2016-05-09,0.78989,0.79674,0.77511,0
2016-05-10,0.78708,0.79222,0.77511,0
2016-05-11,0.79144,0.79222,0.77511,0
2016-05-12,0.78746,0.79222,0.77511,0
2016-05-13,0.78747,0.79222,0.77511,0
2016-05-15,0.78864,0.79222,0.77511,0
2016-05-16,0.78342,0.79222,0.77511,0
2016-05-17,0.78266,0.79222,0.77511,0
2016-05-18,0.76879,0.79222,0.76879,0
2016-05-19,0.76738,0.79222,0.76738,0
2016-05-20,0.77395,0.79222,0.76738,0
2016-05-22,0.77439,0.79222,0.76738,0
2016-05-23,0.77446,0.79222,0.76738,0
2016-05-24,0.76203,0.79222,0.76203,0
2016-05-25,0.75905,0.79222,0.75905,0
2016-05-26,0.76316,0.79222,0.75905,0
2016-05-27,0.76016,0.79144,0.75905,0
2016-05-29,0.75964,0.79144,0.75905,0
2016-05-30,0.76182,0.79144,0.75905,0
2016-05-31,0.76878,0.79144,0.75905,0
2016-06-01,0.77588,0.79144,0.75905,0
2016-06-02,0.77412,0.79144,0.75905,0
2016-06-03,0.78293,0.78864,0.75905,0
2016-06-05,0.78895,0.78895,0.75905,0
2016-06-06,0.78597,0.78895,0.75905,0
2016-06-07,0.7809,0.78895,0.75905,0
2016-06-08,0.78565,0.78895,0.75905,0
2016-06-09,0.78196,0.78895,0.75905,0
2016-06-10,0.7892,0.7892,0.75905,0
2016-06-12,0.79204,0.79204,0.75905,0
2016-06-13,0.79466,0.79466,0.75905,0
2016-06-14,0.79404,0.79466,0.75905,0
2016-06-15,0.79338,0.79466,0.75905,0
2016-06-16,0.78856,0.79466,0.75905,0
2016-06-17,0.78539,0.79466,0.75964,0
2016-06-19,0.7782,0.79466,0.75964,0
2016-06-20,0.77162,0.79466,0.75964,0
2016-06-21,0.76716,0.79466,0.76182,0
2016-06-22,0.76591,0.79466,0.76591,0
2016-06-23,0.7784,0.79466,0.76591,0
2016-06-24,0.8119,0.8119,0.76591,0
2016-06-26,0.82134,0.82134,0.76591,0
2016-06-27,0.8328,0.8328,0.76591,0
2016-06-28,0.82942,0.8328,0.76591,0
2016-06-29,0.82677,0.8328,0.76591,0
2016-06-30,0.8329,0.8329,0.76591,0
2016-07-01,0.83931,0.83931,0.76591,0
2016-07-03,0.83771,0.83931,0.76591,0
2016-07-04,0.83923,0.83931,0.76591,0
2016-07-05,0.85356,0.85356,0.76591,0
2016-07-06,0.859,0.859,0.76591,0
2016-07-07,0.85698,0.859,0.76591,0
2016-07-08,0.85318,0.859,0.76591,0
2016-07-10,0.85332,0.859,0.76591,0
2016-07-11,0.8516,0.859,0.76591,0
2016-07-12,0.83348,0.859,0.76591,0
2016-07-13,0.84571,0.859,0.76591,0
2016-07-14,0.83184,0.859,0.76591,0
2016-07-15,0.83683,0.859,0.7784,0
2016-07-17,0.8355,0.859,0.8119,0
2016-07-18,0.83442,0.859,0.82134,0
2016-07-19,0.84039,0.859,0.82677,0
2016-07-20,0.83176,0.859,0.82677,0
2016-07-21,0.8335,0.859,0.82677,0
2016-07-22,0.83738,0.859,0.83176,0
2016-07-24,0.83586,0.859,0.83176,0
2016-07-25,0.8386,0.859,0.83176,0
2016-07-26,0.83567,0.859,0.83176,0
2016-07-27,0.83666,0.859,0.83176,0
2016-07-28,0.84198,0.859,0.83176,0
2016-07-29,0.84479,0.85698,0.83176,0
2016-07-31,0.84494,0.85332,0.83176,0
2016-08-01,0.84697,0.85332,0.83176,0
2016-08-02,0.84114,0.8516,0.83176,0
2016-08-03,0.83669,0.84697,0.83176,0
2016-08-04,0.84819,0.84819,0.83176,0
2016-08-05,0.8483,0.8483,0.83176,0
2016-08-07,0.84801,0.8483,0.83176,0
2016-08-08,0.85057,0.85057,0.83176,0
2016-08-09,0.85441,0.85441,0.83176,0
2016-08-10,0.85906,0.85906,0.83176,0
2016-08-11,0.85983,0.85983,0.83176,0
2016-08-12,0.86395,0.86395,0.8335,0
2016-08-14,0.8649,0.8649,0.83567,0
2016-08-15,0.86816,0.86816,0.83567,0
2016-08-16,0.86542,0.86816,0.83567,0
2016-08-17,0.86614,0.86816,0.83567,0
2016-08-18,0.86209,0.86816,0.83666,0
2016-08-19,0.86613,0.86816,0.83669,0
2016-08-21,0.8649,0.86816,0.83669,0
2016-08-22,0.86176,0.86816,0.83669,0
2016-08-23,0.85636,0.86816,0.83669,0
2016-08-24,0.85073,0.86816,0.83669,0
2016-08-25,0.85558,0.86816,0.83669,0
2016-08-26,0.85246,0.86816,0.84801,0
2016-08-28,0.85307,0.86816,0.84801,0
2016-08-29,0.85386,0.86816,0.84801,0
2016-08-30,0.85174,0.86816,0.85057,0
2016-08-31,0.84946,0.86816,0.84946,0
2016-09-01,0.8436,0.86816,0.8436,0
2016-09-02,0.83905,0.86816,0.83905,0
2016-09-04,0.83932,0.86816,0.83905,0
2016-09-05,0.8377,0.86816,0.8377,0
2016-09-06,0.83833,0.86816,0.8377,0
2016-09-07,0.84256,0.86614,0.8377,0
2016-09-08,0.84677,0.86614,0.8377,0
2016-09-09,0.84647,0.86613,0.8377,0
2016-09-11,0.84692,0.86613,0.8377,0
2016-09-12,0.84288,0.8649,0.8377,0
2016-09-13,0.85045,0.86176,0.8377,0
2016-09-14,0.84792,0.85636,0.8377,0
2016-09-15,0.84904,0.85558,0.8377,0
2016-09-16,0.85791,0.85791,0.8377,0
2016-09-18,0.85746,0.85791,0.8377,0
2016-09-19,0.85714,0.85791,0.8377,0
2016-09-20,0.85904,0.85904,0.8377,0
2016-09-21,0.85856,0.85904,0.8377,0
2016-09-22,0.85672,0.85904,0.8377,0
2016-09-23,0.86575,0.86575,0.8377,0
2016-09-25,0.86591,0.86591,0.8377,0
2016-09-26,0.86754,0.86754,0.8377,0
